descriptions,words
"From rockets to stock markets, many of humanity's most thrilling creations are powered by math. So why do kids lose interest in it? Conrad Wolfram says the part of math we teach — calculation by hand — isn't just tedious, it's mostly irrelevant to real mathematics and the real world. He presents his radical idea: teaching kids math through computer programming.","['rockets', 'stock', 'markets', 'many', ""humanity's"", 'thrilling', 'creations', 'powered', 'math', 'kids', 'lose', 'interest', 'conrad', 'wolfram', 'says', 'part', 'math', 'teach', 'calculation', 'hand', 'just', 'tedious', 'mostly', 'irrelevant', 'real', 'mathematics', 'real', 'world', 'presents', 'radical', 'idea', 'teaching', 'kids', 'math', 'computer', 'programming']"
"TED collaborates with animator Andrew Park to illustrate Denis Dutton's provocative theory on beauty — that art, music and other beautiful things, far from being simply ""in the eye of the beholder,"" are a core part of human nature with deep evolutionary origins.  ","['ted', 'collaborates', 'animator', 'andrew', 'park', 'illustrate', 'denis', ""dutton's"", 'provocative', 'theory', 'beauty', 'art', 'music', 'beautiful', 'things', 'far', 'simply', 'eye', 'beholder', 'core', 'part', 'human', 'nature', 'deep', 'evolutionary', 'origins']"
"Computer science professor Shimon Schocken is also an avid mountain biker. To share the life lessons he learned while riding, he began an outdoor program with Israel's juvenile inmates and was touched by both their intense difficulties and profound successes. Photographs by Raphael Rabinovitz.","['computer', 'science', 'professor', 'shimon', 'schocken', 'also', 'avid', 'mountain', 'biker', 'share', 'life', 'lessons', 'learned', 'riding', 'began', 'outdoor', 'program', ""israel's"", 'juvenile', 'inmates', 'touched', 'intense', 'difficulties', 'profound', 'successes', 'photographs', 'raphael', 'rabinovitz']"
"Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs ""Farther than the Sun,"" backed by Thomas Dolby on keyboards.","['caroline', 'lavelle', 'plays', 'cello', 'like', 'sorceress', 'casting', 'spell', 'occasionally', 'hiding', 'behind', 'wild', 'mane', 'blond', 'hair', 'sings', 'pastoral', 'themes', 'performs', 'farther', 'sun', 'backed', 'thomas', 'dolby', 'keyboards']"
"Join John Hardy on a tour of the Green School, his off-the-grid school in Bali that teaches kids how to build, garden, create (and get into college). The centerpiece of campus is the spiraling Heart of School, perhaps the world's largest freestanding bamboo building.","['join', 'john', 'hardy', 'tour', 'green', 'school', 'off-the-grid', 'school', 'bali', 'teaches', 'kids', 'build', 'garden', 'create', 'get', 'college', 'centerpiece', 'campus', 'spiraling', 'heart', 'school', 'perhaps', ""world's"", 'largest', 'freestanding', 'bamboo', 'building']"
"Kristina Gjerde studies the law of the high seas — the 64 percent of our ocean that isn't protected by any national law at all. Gorgeous photos show the hidden worlds that Gjerde and other lawyers are working to protect from trawling and trash-dumping, through smart policymaking and a healthy dose of PR.","['kristina', 'gjerde', 'studies', 'law', 'high', 'seas', 'percent', 'ocean', 'protected', 'national', 'law', 'gorgeous', 'photos', 'show', 'hidden', 'worlds', 'gjerde', 'lawyers', 'working', 'protect', 'trawling', 'trash-dumping', 'smart', 'policymaking', 'healthy', 'dose', 'pr']"
Neuropsychologist Kim Gorgens makes the case for better protecting our brains against the risk of concussion — with a compelling pitch for putting helmets on kids.,"['neuropsychologist', 'kim', 'gorgens', 'makes', 'case', 'better', 'protecting', 'brains', 'risk', 'concussion', 'compelling', 'pitch', 'putting', 'helmets', 'kids']"
"In war we often see only the frontline stories of soldiers and combat. AT TEDGlobal 2010, Zainab Salbi tells powerful ""backline"" stories of women who keep everyday life going during conflicts, and calls for women to have a place at the negotiating table once fighting is over.","['war', 'often', 'see', 'frontline', 'stories', 'soldiers', 'combat', 'tedglobal', 'zainab', 'salbi', 'tells', 'powerful', 'backline', 'stories', 'women', 'keep', 'everyday', 'life', 'going', 'conflicts', 'calls', 'women', 'place', 'negotiating', 'table', 'fighting']"
Jason Fried has a radical theory of working: that the office isn't a good place to do it. He calls out the two main offenders (call them the M&Ms) and offers three suggestions to make the workplace actually work.,"['jason', 'fried', 'radical', 'theory', 'working', 'office', 'good', 'place', 'calls', 'two', 'main', 'offenders', 'call', 'm&ms', 'offers', 'three', 'suggestions', 'make', 'workplace', 'actually', 'work']"
"In this funny and inspiring talk, Dan Phillips tours us through a dozen homes he's built in Texas using recycled and reclaimed materials in wildly creative ways. Brilliant, low-tech design details will refresh your own drive to make more with less.","['funny', 'inspiring', 'talk', 'dan', 'phillips', 'tours', 'us', 'dozen', 'homes', 'built', 'texas', 'using', 'recycled', 'reclaimed', 'materials', 'wildly', 'creative', 'ways', 'brilliant', 'low-tech', 'design', 'details', 'will', 'refresh', 'drive', 'make', 'less']"
"At a TEDx event, 11-year-old Birke Baehr presents his take on a major source of our food — far-away and less-than-picturesque industrial farms. Keeping farms out of sight promotes a rosy, unreal picture of big-box agriculture, he argues, as he outlines the case to green and localize food production.","['tedx', 'event', '-year-old', 'birke', 'baehr', 'presents', 'take', 'major', 'source', 'food', 'far-away', 'less-than-picturesque', 'industrial', 'farms', 'keeping', 'farms', 'sight', 'promotes', 'rosy', 'unreal', 'picture', 'big-box', 'agriculture', 'argues', 'outlines', 'case', 'green', 'localize', 'food', 'production']"
"William Ury, author of ""Getting to Yes,"" offers an elegant, simple (but not easy) way to create agreement in even the most difficult situations — from family conflict to, perhaps, the Middle East.","['william', 'ury', 'author', 'getting', 'yes', 'offers', 'elegant', 'simple', 'easy', 'way', 'create', 'agreement', 'even', 'difficult', 'situations', 'family', 'conflict', 'perhaps', 'middle', 'east']"
"Marcel Dicke makes an appetizing case for adding insects to everyone's diet. His message to squeamish chefs and foodies: delicacies like locusts and caterpillars compete with meat in flavor, nutrition and eco-friendliness.","['marcel', 'dicke', 'makes', 'appetizing', 'case', 'adding', 'insects', ""everyone's"", 'diet', 'message', 'squeamish', 'chefs', 'foodies', 'delicacies', 'like', 'locusts', 'caterpillars', 'compete', 'meat', 'flavor', 'nutrition', 'eco-friendliness']"
"No one knows exactly how many landmines still litter the world, but it's safe to say: millions, waiting to kill and maim unsuspecting civilians. Clearing them is slow, expensive and dangerous. The founder of Apopo, Bart Weetjens, talks about his extraordinary project: training rats to sniff out land mines. He shows clips of his ""hero rats"" in action, and previews his work's next phase: teaching them to turn up tuberculosis in the lab.","['one', 'knows', 'exactly', 'many', 'landmines', 'still', 'litter', 'world', 'safe', 'say', 'millions', 'waiting', 'kill', 'maim', 'unsuspecting', 'civilians', 'clearing', 'slow', 'expensive', 'dangerous', 'founder', 'apopo', 'bart', 'weetjens', 'talks', 'extraordinary', 'project', 'training', 'rats', 'sniff', 'land', 'mines', 'shows', 'clips', 'hero', 'rats', 'action', 'previews', ""work's"", 'next', 'phase', 'teaching', 'turn', 'tuberculosis', 'lab']"
"Philosopher Dan Dennett makes a compelling argument that not only don't we understand our own consciousness, but that half the time our brains are actively fooling us.","['philosopher', 'dan', 'dennett', 'makes', 'compelling', 'argument', 'understand', 'consciousness', 'half', 'time', 'brains', 'actively', 'fooling', 'us']"
"If you've been in a restaurant kitchen, you've seen how much food, water and energy can be wasted there. Chef Arthur Potts-Dawson shares his very personal vision for drastically reducing restaurant, and supermarket, waste — creating recycling, composting, sustainable engines for good (and good food).","['restaurant', 'kitchen', 'seen', 'much', 'food', 'water', 'energy', 'can', 'wasted', 'chef', 'arthur', 'potts-dawson', 'shares', 'personal', 'vision', 'drastically', 'reducing', 'restaurant', 'supermarket', 'waste', 'creating', 'recycling', 'composting', 'sustainable', 'engines', 'good', 'good', 'food']"
"In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums.","['soaring', 'demonstration', 'deaf', 'percussionist', 'evelyn', 'glennie', 'illustrates', 'listening', 'music', 'involves', 'much', 'simply', 'letting', 'sound', 'waves', 'hit', 'eardrums']"
"Halla Tomasdottir managed to take her company Audur Capital through the eye of the financial storm in Iceland by applying 5 traditionally ""feminine"" values to financial services. At TEDWomen, she talks about these values and the importance of balance. ","['halla', 'tomasdottir', 'managed', 'take', 'company', 'audur', 'capital', 'eye', 'financial', 'storm', 'iceland', 'applying', 'traditionally', 'feminine', 'values', 'financial', 'services', 'tedwomen', 'talks', 'values', 'importance', 'balance']"
"At TEDWomen, Tony Porter makes a call to men everywhere: Don't ""act like a man."" Telling powerful stories from his own life, he shows how this mentality, drummed into so many men and boys, can lead men to disrespect, mistreat and abuse women and each other. His solution: Break free of the ""man box.""","['tedwomen', 'tony', 'porter', 'makes', 'call', 'men', 'everywhere', 'act', 'like', 'man', 'telling', 'powerful', 'stories', 'life', 'shows', 'mentality', 'drummed', 'many', 'men', 'boys', 'can', 'lead', 'men', 'disrespect', 'mistreat', 'abuse', 'women', 'solution', 'break', 'free', 'man', 'box']"
"Kiran Bedi has a surprising resume. Before becoming Director General of the Indian Police Service, she managed one of the country's toughest prisons — and used a new focus on prevention and education to turn it into a center of learning and meditation. She shares her thoughts on visionary leadership at TEDWomen.","['kiran', 'bedi', 'surprising', 'resume', 'becoming', 'director', 'general', 'indian', 'police', 'service', 'managed', 'one', ""country's"", 'toughest', 'prisons', 'used', 'new', 'focus', 'prevention', 'education', 'turn', 'center', 'learning', 'meditation', 'shares', 'thoughts', 'visionary', 'leadership', 'tedwomen']"
"Hanna Rosin reviews startling new data that shows women actually surpassing men in several important measures, such as college graduation rates. Do these trends, both US-centric and global, signal the ""end of men""? Probably not — but they point toward an important societal shift worth deep discussion.","['hanna', 'rosin', 'reviews', 'startling', 'new', 'data', 'shows', 'women', 'actually', 'surpassing', 'men', 'several', 'important', 'measures', 'college', 'graduation', 'rates', 'trends', 'us-centric', 'global', 'signal', 'end', 'men', 'probably', 'point', 'toward', 'important', 'societal', 'shift', 'worth', 'deep', 'discussion']"
Diana Laufenberg shares three surprising things she has learned about teaching — including a key insight about learning from mistakes.,"['diana', 'laufenberg', 'shares', 'three', 'surprising', 'things', 'learned', 'teaching', 'including', 'key', 'insight', 'learning', 'mistakes']"
"Babble.com publishers Rufus Griscom and Alisa Volkman, in a lively tag-team, expose 4 facts that parents never, ever admit — and why they should. Funny and honest, for parents and nonparents alike.","['babble.com', 'publishers', 'rufus', 'griscom', 'alisa', 'volkman', 'lively', 'tag-team', 'expose', 'facts', 'parents', 'never', 'ever', 'admit', 'funny', 'honest', 'parents', 'nonparents', 'alike']"
"In her talk, Rachel Botsman says we're ""wired to share"" — and shows how websites like Zipcar and Swaptree are changing the rules of human behavior.","['talk', 'rachel', 'botsman', 'says', 'wired', 'share', 'shows', 'websites', 'like', 'zipcar', 'swaptree', 'changing', 'rules', 'human', 'behavior']"
"In this talk from RSA Animate, Sir Ken Robinson lays out the link between 3 troubling trends: rising drop-out rates, schools' dwindling stake in the arts, and ADHD. An important, timely talk for parents and teachers.","['talk', 'rsa', 'animate', 'sir', 'ken', 'robinson', 'lays', 'link', 'troubling', 'trends', 'rising', 'drop-out', 'rates', 'schools', 'dwindling', 'stake', 'arts', 'adhd', 'important', 'timely', 'talk', 'parents', 'teachers']"
"Beverly + Dereck Joubert live in the bush, filming and photographing lions and leopards in their natural habitat. With stunning footage (some never before seen), they discuss their personal relationships with these majestic animals — and their quest to save the big cats from human threats.","['beverly', 'dereck', 'joubert', 'live', 'bush', 'filming', 'photographing', 'lions', 'leopards', 'natural', 'habitat', 'stunning', 'footage', 'never', 'seen', 'discuss', 'personal', 'relationships', 'majestic', 'animals', 'quest', 'save', 'big', 'cats', 'human', 'threats']"
"Green-minded architect and designer William McDonough asks what our buildings and products would look like if designers took into account ""all children, all species, for all time."" ","['green-minded', 'architect', 'designer', 'william', 'mcdonough', 'asks', 'buildings', 'products', 'look', 'like', 'designers', 'took', 'account', 'children', 'species', 'time']"
Facebook COO Sheryl Sandberg looks at why a smaller percentage of women than men reach the top of their professions — and offers 3 powerful pieces of advice to women aiming for the C-suite.,"['facebook', 'coo', 'sheryl', 'sandberg', 'looks', 'smaller', 'percentage', 'women', 'men', 'reach', 'top', 'professions', 'offers', 'powerful', 'pieces', 'advice', 'women', 'aiming', 'c-suite']"
The future of green is local. Majora Carter tells three inspiring stories of people who are saving their own communities while saving the planet. ,"['future', 'green', 'local', 'majora', 'carter', 'tells', 'three', 'inspiring', 'stories', 'people', 'saving', 'communities', 'saving', 'planet']"
"Brené Brown studies human connection — our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.","['brené', 'brown', 'studies', 'human', 'connection', 'ability', 'empathize', 'belong', 'love', 'poignant', 'funny', 'talk', 'shares', 'deep', 'insight', 'research', 'one', 'sent', 'personal', 'quest', 'know', 'well', 'understand', 'humanity', 'talk', 'share']"
"In an intimate talk, Barry Schwartz dives into the question ""How do we do the right thing?"" With help from collaborator Kenneth Sharpe, he shares stories that illustrate the difference between following the rules and truly choosing wisely.","['intimate', 'talk', 'barry', 'schwartz', 'dives', 'question', 'right', 'thing', 'help', 'collaborator', 'kenneth', 'sharpe', 'shares', 'stories', 'illustrate', 'difference', 'following', 'rules', 'truly', 'choosing', 'wisely']"
"In this short talk, Arianna Huffington shares a small idea that can awaken much bigger ones: the power of a good night's sleep. Instead of bragging about our sleep deficits, she urges us to shut our eyes and see the big picture: We can sleep our way to increased productivity and happiness — and smarter decision-making.","['short', 'talk', 'arianna', 'huffington', 'shares', 'small', 'idea', 'can', 'awaken', 'much', 'bigger', 'ones', 'power', 'good', ""night's"", 'sleep', 'instead', 'bragging', 'sleep', 'deficits', 'urges', 'us', 'shut', 'eyes', 'see', 'big', 'picture', 'can', 'sleep', 'way', 'increased', 'productivity', 'happiness', 'smarter', 'decision-making']"
"Lesley Hazleton sat down one day to read the Koran. And what she found — as a non-Muslim, a self-identified ""tourist"" in the Islamic holy book — wasn't what she expected. With serious scholarship and warm humor, Hazleton shares the grace, flexibility and mystery she found, in this myth-debunking talk.","['lesley', 'hazleton', 'sat', 'one', 'day', 'read', 'koran', 'found', 'non-muslim', 'self-identified', 'tourist', 'islamic', 'holy', 'book', 'expected', 'serious', 'scholarship', 'warm', 'humor', 'hazleton', 'shares', 'grace', 'flexibility', 'mystery', 'found', 'myth-debunking', 'talk']"
Musician and researcher Charles Limb wondered how the brain works during musical improvisation — so he put jazz musicians and rappers in an fMRI to find out. What he and his team found has deep implications for our understanding of creativity of all kinds.,"['musician', 'researcher', 'charles', 'limb', 'wondered', 'brain', 'works', 'musical', 'improvisation', 'put', 'jazz', 'musicians', 'rappers', 'fmri', 'find', 'team', 'found', 'deep', 'implications', 'understanding', 'creativity', 'kinds']"
"Working with a team of physicists, Dr. Deborah Rhodes developed a new tool for tumor detection that's 3 times as effective as traditional mammograms for women with dense breast tissue. The life-saving implications are stunning. So why haven't we heard of it? Rhodes shares the story behind the tool's creation, and the web of politics and economics that keep it from mainstream use.","['working', 'team', 'physicists', 'dr', 'deborah', 'rhodes', 'developed', 'new', 'tool', 'tumor', 'detection', 'times', 'effective', 'traditional', 'mammograms', 'women', 'dense', 'breast', 'tissue', 'life-saving', 'implications', 'stunning', 'heard', 'rhodes', 'shares', 'story', 'behind', ""tool's"", 'creation', 'web', 'politics', 'economics', 'keep', 'mainstream', 'use']"
"Neil Pasricha's blog 1000 Awesome Things savors life's simple pleasures, from free refills to clean sheets. In this heartfelt talk, he reveals the 3 secrets (all starting with A) to leading a life that's truly awesome.","['neil', ""pasricha's"", 'blog', 'awesome', 'things', 'savors', ""life's"", 'simple', 'pleasures', 'free', 'refills', 'clean', 'sheets', 'heartfelt', 'talk', 'reveals', 'secrets', 'starting', 'leading', 'life', 'truly', 'awesome']"
"Nobel Peace laureate Jody Williams brings tough love to the dream of world peace, with her razor-sharp take on what ""peace"" really means, and a set of profound stories that zero in on the creative struggle — and sacrifice — of those who work for it.","['nobel', 'peace', 'laureate', 'jody', 'williams', 'brings', 'tough', 'love', 'dream', 'world', 'peace', 'razor-sharp', 'take', 'peace', 'really', 'means', 'set', 'profound', 'stories', 'zero', 'creative', 'struggle', 'sacrifice', 'work']"
The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says it’s more like the early days of the electric industry.,"['dot-com', 'boom', 'bust', 'often', 'compared', 'gold', 'rush', 'amazon.com', 'founder', 'jeff', 'bezos', 'says', 'it’s', 'like', 'early', 'days', 'electric', 'industry']"
"Technology is evolving us, says Amber Case, as we become a screen-staring, button-clicking new version of homo sapiens. We now rely on ""external brains"" (cell phones and computers) to communicate, remember, even live out secondary lives. But will these machines ultimately connect or conquer us? Case offers surprising insight into our cyborg selves.","['technology', 'evolving', 'us', 'says', 'amber', 'case', 'become', 'screen-staring', 'button-clicking', 'new', 'version', 'homo', 'sapiens', 'now', 'rely', 'external', 'brains', 'cell', 'phones', 'computers', 'communicate', 'remember', 'even', 'live', 'secondary', 'lives', 'will', 'machines', 'ultimately', 'connect', 'conquer', 'us', 'case', 'offers', 'surprising', 'insight', 'cyborg', 'selves']"
"It takes an entire civilization to build a toaster. Designer Thomas Thwaites found out the hard way, by attempting to build one from scratch: mining ore for steel, deriving plastic from oil ... it's frankly amazing he got as far as he got. A parable of our interconnected society, for designers and consumers alike.","['takes', 'entire', 'civilization', 'build', 'toaster', 'designer', 'thomas', 'thwaites', 'found', 'hard', 'way', 'attempting', 'build', 'one', 'scratch', 'mining', 'ore', 'steel', 'deriving', 'plastic', 'oil', 'frankly', 'amazing', 'got', 'far', 'got', 'parable', 'interconnected', 'society', 'designers', 'consumers', 'alike']"
"There's an angry divisive tension in the air that threatens to make modern politics impossible. Elizabeth Lesser explores the two sides of human nature within us (call them ""the mystic"" and ""the warrior”) that can be harnessed to elevate the way we treat each other. She shares a simple way to begin real dialogue — by going to lunch with someone who doesn't agree with you, and asking them three questions to find out what's really in their hearts.","['angry', 'divisive', 'tension', 'air', 'threatens', 'make', 'modern', 'politics', 'impossible', 'elizabeth', 'lesser', 'explores', 'two', 'sides', 'human', 'nature', 'within', 'us', 'call', 'mystic', 'warrior”', 'can', 'harnessed', 'elevate', 'way', 'treat', 'shares', 'simple', 'way', 'begin', 'real', 'dialogue', 'going', 'lunch', 'someone', 'agree', 'asking', 'three', 'questions', 'find', 'really', 'hearts']"
"In her talk, Ali Carr-Chellman pinpoints three reasons boys are tuning out of school in droves, and lays out her bold plan to re-engage them: bringing their culture into the classroom, with new rules that let boys be boys, and video games that teach as well as entertain.","['talk', 'ali', 'carr-chellman', 'pinpoints', 'three', 'reasons', 'boys', 'tuning', 'school', 'droves', 'lays', 'bold', 'plan', 're-engage', 'bringing', 'culture', 'classroom', 'new', 'rules', 'let', 'boys', 'boys', 'video', 'games', 'teach', 'well', 'entertain']"
"Days before this talk, journalist Naomi Klein was on a boat in the Gulf of Mexico, looking at the catastrophic results of BP's risky pursuit of oil. Our societies have become addicted to extreme risk in finding new energy, new financial instruments and more ... and too often, we're left to clean up a mess afterward. Klein's question: What's the backup plan?","['days', 'talk', 'journalist', 'naomi', 'klein', 'boat', 'gulf', 'mexico', 'looking', 'catastrophic', 'results', ""bp's"", 'risky', 'pursuit', 'oil', 'societies', 'become', 'addicted', 'extreme', 'risk', 'finding', 'new', 'energy', 'new', 'financial', 'instruments', 'often', 'left', 'clean', 'mess', 'afterward', ""klein's"", 'question', 'backup', 'plan']"
"You'll never sing again, said her doctor. But in a story from the very edge of medical possibility, operatic soprano Charity Tillemann-Dick tells a double story of survival — of her body, from a double lung transplant, and of her spirit, fueled by an unwavering will to sing. A powerful story from TEDMED 2010.","['never', 'sing', 'said', 'doctor', 'story', 'edge', 'medical', 'possibility', 'operatic', 'soprano', 'charity', 'tillemann-dick', 'tells', 'double', 'story', 'survival', 'body', 'double', 'lung', 'transplant', 'spirit', 'fueled', 'unwavering', 'will', 'sing', 'powerful', 'story', 'tedmed']"
"When we throw away our plastic trash, where does it go? In this hard-hitting talk, Van Jones shows us how our throwaway culture hits poor people and poor countries ""first and worst,"" with consequences we all share no matter where we live. Ho offers some ways to reclaim our planet from plastic garbage.","['throw', 'away', 'plastic', 'trash', 'go', 'hard-hitting', 'talk', 'van', 'jones', 'shows', 'us', 'throwaway', 'culture', 'hits', 'poor', 'people', 'poor', 'countries', 'first', 'worst', 'consequences', 'share', 'matter', 'live', 'ho', 'offers', 'ways', 'reclaim', 'planet', 'plastic', 'garbage']"
"Medical scans can produce thousands of images for a single patient in seconds, but how do doctors know what's useful? Scientific visualization expert Anders Ynnerman shows us sophisticated new tools — like virtual autopsies — for analyzing our data, and hints at the sci-fi-sounding medical technologies coming up next. This talk contains some graphic medical imagery.","['medical', 'scans', 'can', 'produce', 'thousands', 'images', 'single', 'patient', 'seconds', 'doctors', 'know', 'useful', 'scientific', 'visualization', 'expert', 'anders', 'ynnerman', 'shows', 'us', 'sophisticated', 'new', 'tools', 'like', 'virtual', 'autopsies', 'analyzing', 'data', 'hints', 'sci-fi-sounding', 'medical', 'technologies', 'coming', 'next', 'talk', 'contains', 'graphic', 'medical', 'imagery']"
"In this first-of-its-kind demo, Heather Knight introduces Data, a robotic stand-up comedian that does much more than rattle off one-liners — it gathers audience feedback (using software co-developed with Scott Satkin and Varun Ramakrishna at CMU) and tunes its act as the crowd responds. Is this thing on?","['first-of-its-kind', 'demo', 'heather', 'knight', 'introduces', 'data', 'robotic', 'stand-up', 'comedian', 'much', 'rattle', 'one-liners', 'gathers', 'audience', 'feedback', 'using', 'software', 'co-developed', 'scott', 'satkin', 'varun', 'ramakrishna', 'cmu', 'tunes', 'act', 'crowd', 'responds', 'thing']"
"Speaking at a TED Salon in London, Martin Jacques asks: How do we in the West make sense of China and its phenomenal rise? The author of ""When China Rules the World,"" he examines why the West often puzzles over the growing power of the Chinese economy, and offers three building blocks for understanding what China is and will become.","['speaking', 'ted', 'salon', 'london', 'martin', 'jacques', 'asks', 'west', 'make', 'sense', 'china', 'phenomenal', 'rise', 'author', 'china', 'rules', 'world', 'examines', 'west', 'often', 'puzzles', 'growing', 'power', 'chinese', 'economy', 'offers', 'three', 'building', 'blocks', 'understanding', 'china', 'will', 'become']"
"Your medical chart: it's hard to access, impossible to read — and full of information that could make you healthier if you just knew how to use it. At TEDMED, Thomas Goetz looks at medical data, making a bold call to redesign it and get more insight from it.","['medical', 'chart', 'hard', 'access', 'impossible', 'read', 'full', 'information', 'make', 'healthier', 'just', 'knew', 'use', 'tedmed', 'thomas', 'goetz', 'looks', 'medical', 'data', 'making', 'bold', 'call', 'redesign', 'get', 'insight']"
New Yorker cartoonist Liza Donnelly shares a portfolio of her wise and funny cartoons about modern life — and talks about how humor can empower women to change the rules.,"['new', 'yorker', 'cartoonist', 'liza', 'donnelly', 'shares', 'portfolio', 'wise', 'funny', 'cartoons', 'modern', 'life', 'talks', 'humor', 'can', 'empower', 'women', 'change', 'rules']"
"Diagnosed with cancer, Bruce Feiler worried first about his young family. So — as he shares in this funny, rambling and ultimately thoughtful talk — he asked his closest friends to become a ""council of dads,"" bringing their own lifetimes of wisdom to advise his twin daughters as they grow.","['diagnosed', 'cancer', 'bruce', 'feiler', 'worried', 'first', 'young', 'family', 'shares', 'funny', 'rambling', 'ultimately', 'thoughtful', 'talk', 'asked', 'closest', 'friends', 'become', 'council', 'dads', 'bringing', 'lifetimes', 'wisdom', 'advise', 'twin', 'daughters', 'grow']"
