speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Jan Chipchase,User anthropologist,"As Executive Creative Director of global insights for frog design, Jan Chipchase travels around the world and inside our pockets in search of behavioral patterns that will inform the design of products we don't even know we want. Yet.","Why you should listen
Jan Chipcase can guess what's inside your bag and knows all about the secret contents of your refrigerator. It isn't a second sight or a carnival trick; he knows about the ways we think and act because he's spent years studying our behavioral patterns. He's traveled from country to country to learn everything he can about what makes us tick, from our relationship to our phones (hint: it's deep, and it's real) to where we stow our keys each night. He oversees the creative direction of frog design , an innovation firm that advises the design products for Microsoft Office, Nike, UNICEF, GE, Sephora, Gatorade and Alitalia. Before moving to frog design, Jan's discoveries and insights helped to inspire the development of the next generations of phones and services at Nokia. As he put it, if he does his job right, you should be seeing the results of his research hitting the streets and airwaves within the next 3 to 15 years.
What others say

“A trove of mobile trivia, Mr Chipchase (actual job title: principal researcher) knows, first-hand, that burkha-wearing students in Iran cheat in exams using hidden Bluetooth headsets; that 50 per cent of the world’s women keep their phones in their handbags (and miss 30 per cent of their calls); and that most Asian early adopters who watch mobile TV ignore the mobile part and tune in from home” — Times UK",undetected,7,0,5,male
Yossi Vardi,Investor,"Investor Yossi Vardi is godfather to more than 40 startups, mostly in the jumping Israeli high-tech sector. He's a legendary community-builder, connector and prankster.","Why you should listen
Joseph ""Yossi"" Vardi has helped more than 40 startups see the light of day, among them Mirabilis (makers of ICQ) and the video companies Scopus and BrightCove. He's a strategic advisor to Amazon and AOL, and a venture partner of Pitango, one of Israel's largest VC funds. He's a lively presence in the world of tech startups, with an absurd sense of humor and a refreshing set of values (restated in a much-commented-on TechCrunch post  in October) that drive his approach to new investments. The takeaways: Judge the individual over the business plan; and don't shy away from an entrepreneur who has failed before: ""It makes them want to win even more,"" he said.
What others say

“One way to get to know Yossi is through his portfolio. Here´s a list of the companies he´s invested with: they include Ilcu, Foxytunes, Gteko, recently sold to Microsoft, Fixya, a very clever customer support web 2.0 site, AtlasCT, a competitor to Google Maps, and Fring, competitor to Gizmo Project or Truphone.” — martinvarsavsky.net",undetected,3,0,3,male
Robin Chase,Transport networker,"With Zipcar, Robin Chase introduced car-crazy America to the concept of non-ownership. Now she's flipping that model with Buzzcar, which lets you rent your own auto to your neighbors.","Why you should listen
        If she weren't a proven entrepreneur, you might imagine Robin Chase as a transportation geek, a dedicated civil servant, endlessly refining computer models of freeway traffic. If she weren't such a green-conscious problem-solver, you might take her for a startup whiz. Case in point: In 2000, Chase focused her MIT business training on a car-sharing scheme imported from Europe and co-founded Zipcar, now the largest car-sharing business in the world. Using a wireless key, location awareness and Internet billing, members pick up Zipcars at myriad locations anytime they want one. Now Chase has launched Buzzcar, a car-sharing service in France with a twist: instead of a fleet of green Zipcars, the service lets users share their own cars and make money off their unused capacity. Call it peer-to-peer auto rental.Read this insightful interview with Chase  about starting a business and raising kids (including a supermodel).
What others say

“Robin Chase has already changed the way we drive, but she's not satisfied. Now she wants to change the way we live as well.” — Harvard Gazette",undetected,0,5,3,female
Craig Venter,"Biologist, genetics pioneer","In 2001, Craig Venter made headlines for sequencing the human genome. In 2003, he started mapping the ocean's biodiversity. And now he's created the first synthetic lifeforms — microorganisms that can produce alternative fuels.","Why you should listen
Craig Venter, the man who led the private effort to sequence the human genome, is hard at work now on even more potentially world-changing projects. First, there's his mission aboard the Sorcerer II, a 92-foot yacht, which, in 2006, finished its voyage around the globe to sample, catalouge and decode the genes of the ocean's unknown microorganisms. Quite a task, when you consider that there are tens of millions of microbes in a single drop of sea water. Then there's the J. Craig Venter Institute, a nonprofit dedicated to researching genomics and exploring its societal implications. In 2005, Venter founded Synthetic Genomics, a private company with a provocative mission: to engineer new life forms. Its goal is to design, synthesize and assemble synthetic microorganisms  that will produce alternative fuels, such as ethanol or hydrogen. He was on Time  magzine's 2007 list of the 100 Most Influential People in the World. In early 2008, scientists at the J. Craig Venter Institute announced that they had manufactured the entire genome of a bacterium by painstakingly stitching together its chemical components. By sequencing a genome, scientists can begin to custom-design bootable organisms, creating biological robots that can produce from scratch chemicals humans can use, such as biofuel. And in 2010, they announced, they had created ""synthetic life"" -- DNA created digitally, inserted into a living bacterium, and remaining alive.
What others say

“Either he is one of this era's most electrifying scientists, or he's one of the most maddening.” — Washington Post",undetected,4,0,3,male
Christopher deCharms,Brain researcher,Christopher deCharms is working on a way to use fMRI scans to show brain activity — in real time.,"Why you should listen
Neuroscientist Christopher deCharms is helping to develop a new kind of MRI that allows doctor and patient to look inside the brain in real time -- to see visual representations of brain processes as they happen. With his company Omneuron, deCharms has developed technology they call rtfMRI, for ""real-time functional MRI"" -- which is exactly what it sounds like. You move your arm, your brain lights up. You feel pain, your brain lights up. How could we use the ability to see our brains in action? For a start, to help treat chronic pain with a kind of biofeedback; being able to visualize pain can help patients control it. And longer-term uses boggle the mind. Ours is the first generation, he believes, to be able to train and build our minds as systematically as a weightlifter builds a muscle. What will we do with this? deCharms is also the author of the book Two Views of Mind, studying Buddhist theories of perception from a neuroscientist's perspective.",undetected,2,0,2,male
Paul Ewald,Evolutionary biologist,"After years of studying illness from the germs' point of view, microbiologist Paul Ewald believes that Big Pharma is wrong about some very big issues. What's right? The leader in evolutionary medicine posits radical new approaches.","Why you should listen
Paul Ewald has a problem with modern medicine: It ignores the fact that many diseases of unknown origin can be linked to slow-growing infections caused by viruses, bacteria and other microorganisms.Ewald -- whose theory stems from both a formal education in biological sciences, ecology, and evolution, and a personal bout with diarrhea in the 1970s -- aims to change this thinking. To that end, he has written popular news articles, academic papers, and two books (Evolution of Infectious Disease and Plague Time) that explain and expand his idea. Ewald is regarded as the leading expert in the emerging field of evolutionary medicine. He directs the evolutionary medicine program in the Biology department at the University of Louisville, Kentucky, and lectures worldwide.Among other honors, Ewald was the first recipient of the Smithsonian Institution's George E. Burch Fellowship in Theoretic Medicine and Affiliated Sciences, which was established to foster pioneering work in health sciences.
What others say

“Ewald smashe[s] the old, and unfortunately still widely accepted, notion that parasites and their hosts inevitably evolve toward a benign coexistence.” — Scientific American",undetected,3,0,2,male
Joshua Klein,Hacker,"Joshua Klein is a fervent hacker of all things, including wet, pulpy systems like animals and people and the way they behave.","Why you should listen
Joshua Klein will hack anything that moves -- his list includes ""social systems, computer networks, institutions, consumer hardware and animal behavior."" His latest project, though charmingly low-tech, has amazing implications for the human-animal interface. Right now, Klein is working at Frog Design as a Principle Technologist, while developing mobile/social applications, health care-related systems and other tools that improve people's lives. He's the author of the novel Roo'd, which was the first modern book (after Tarzan) to be ported to the iPhone.
What others say

“Klein envisions a new symbiotic relationship between these intelligent birds and the humans that encroach on their habitat. ... Why not turn a longstanding rivalry between man and crow into something that profits both species?” —",undetected,2,0,2,male
Nathan Myhrvold,Polymath,"Nathan Myhrvold is a professional jack-of-all-trades. After leaving Microsoft in 1999, he's been a world barbecue champion, a wildlife photographer, a chef, a contributor to SETI, and a volcano explorer.","Why you should listen
Since leaving his post as Microsoft's Chief Technology Officer in 1999 (with fortune in tow), Nathan Myhrvold has been a professional exemplar of the spirit of the ""Renaissance Man,"" proudly following his interests wherever they've led. His dispersed passions have triggered an impressive list of accomplishments, including world barbecue championships, major archeological finds (several Tyrannosaurus rex skeletons), prize-winning wildlife photography, building a section of Babbage's Difference Engine #2, s, and a new and consuming interest in the sous-vide cooking technique. Malcolm Gladwell's 2008 New Yorker profile of him  revealed an impish but truly inspired character whose latest company, Intellectual Ventures -- which brainstorms and patents a wide array of inventions --  has been accused in some quarters of acting like a 'patent troll' but is described by Myhrvold as ""a disruptive organization providing  an efficient way for patent holders to get paid for the inventions they own, and... for technology companies to gain easy access to the invention rights they need."" After funding big-vision projects such as the Allen Telescope Array, exploring active volcanoes and investigating penguin digestion, Myhrvold insists that his hobbies aren't as discursive as they seem. They do have a common denominator, after all: him.
What others say

“He is gregarious, enthusiastic, and nerdy on an epic scale.” — Malcolm Gladwell",undetected,6,0,4,male
Keith Bellows,Traveler,"On the heels of a long and bruising camel ride, Keith Bellows became fascinated with the ""SUV of the sand,"" and with the many thorny aspects of their personalities (and mating habits) most of us would rather not dwell upon.","Why you should listen
As the former editor of National Geographic Traveler, Keith Bellows stepped away from the human aspects of travel for a moment to present one of his other fascinations: animal design. And not just the beautiful, photogenic aspects of that design either. After a harrowing breakdown in the Sahara with one water bottle to share among four people, Bellows was forced to make a rendezvous via camel ride, and became certain that this animal was, in addition to being a ""mean son-of-a-bitch,"" the most perfectly designed creature on Earth.Convinced by the organizers that bringing a live camel to the TED Conference was not a wise idea, Bellows did the next best thing, and drafted a National Geographic film crew to go to the Washington Zoo. They returned with a film of Suki, a 2,000-pound creature in the midst of rut, with shocking capabilities lurking in his spinning tail and rear-facing genitalia, all gleefully outlined in the film. But though this creature may seem unsavory, he's perfectly adapted to survival in the harshest environments around, and critical to the survival of the nomads that call the desert home. ",undetected,2,0,2,male
Jared Diamond,Civilization scholar,Jared Diamond investigates why cultures prosper or decline — and what we can learn by taking a broad look across many kinds of societies.,"Why you should listen
In his books Guns, Germs and Steel  and Collapse  (and the popular PBS and National Geographic documentaries they inspired), big-picture scholar Jared Diamond explores civilizations and why they all seem to fall. Now in his latest book, The World Until Yesterday, Diamond examines small, traditional, tribal societies -- and suggests that modern civilization is only our latest solution to survival. Diamond’s background in evolutionary biology, geography and physiology informs his integrated vision of human history. He posits that success -- and failure -- depends on how well societies adapt to their changing environment.
What others say

“Diamond eschews the grand canvas to offer an empathetic portrait of human survival and adaptability” — Publisher’s Weekly, Sept. 17, 2012",undetected,4,0,3,male
Gregory Petsko,Bioengineer,"Gregory Petsko is a biochemist who studies the proteins of the body and their biochemical function. Working with Dagmar Ringe, he's doing pioneering work in the way we look at proteins and what they do.","Why you should listen
Gregory Petsko's own biography, on his Brandeis faculty homepage, might seem intimidatingly abstruse to the non-biochemist -- he studies ""the structural basis for efficient enzymic catalysis of proton and hydride transfer; the role of the metal ions in bridged bimetalloenzyme active sites; direct visualization of proteins in action by time-resolved protein crystallography; the evolution of new enzyme activities from old ones; and the biology of the quiescent state in eukaryotic cells.""But for someone so deeply in touch with the minutest parts of our bodies, Petsko is also a wide-ranging mind, concerned about larger health policy issues. The effect of mass population shifts -- such as our current trend toward a senior-citizen society -- maps onto his world of tiny proteins to create a compeling new worldview. ",undetected,3,0,2,male
Joseph Pine,Writer,"A writer and veteran consultant to entrepreneurs and executives alike, Joseph Pine's books and workshops help businesses create what modern consumers really want: authentic experiences.","Why you should listen
Joseph Pine's career as a business coach began at IBM when he did something truly unorthodox: he brought business partners and customers into the development process of a new computer. Taking from this the lesson that every customer is unique, he wrote a book called Mass Customization on businesses that serve customers' unique needs. Later he discovered what he would coin the ""Experience Economy"" -- consumers buying experiences rather than goods or commodities -- and wrote a book  of the same name.Pine and his friend Jim Gilmore have since turned their focus to authenticity, which they argue is the main criterion people use when deciding what to buy. (The idea was featured in TIME's ""10 Ideas That Are Changing the World,"" and also became a book.) They joke that their company, Strategic Horizons, ought to be called ""Frameworks 'R' Us,"" after their specialty in helping others see business differently.
What others say

“Once I began to think like [Jim] Gilmore and [Joseph] Pine, I found myself coming up with seemingly authentic experiences for even the most insipid products.” — John Cloud, TIME",undetected,6,0,5,male
Mark Roth,"Biochemist, cell biologist","Mark Roth's research has reawakened an unusual notion from the annals of science: reversible metabolic hibernation. Yes, putting living organisms into suspended animation — and bringing them back safely.","Why you should listen
As a cell biologist in cancer research, Mark Roth studies genes, chromosomes and autoimmune disease. But he's best known for his research into suspended animation. Already, Roth has managed a world first: putting a vertebrate -- a zebrafish embryo -- into an oxygen-deprived state for several hours, then restoring it to completely normal development. He's been able to reduce the core temperature of mice to 10 degrees Celsius, and then revive them, harmlessly.This MacArthur ""genius"" grant winner may spur the next big leap for lifesaving medical systems with techniques that buy time for critically ill trauma patients -- people in desperate need of organ transplants, for example -- whether in emergency rooms or on battlefields. DARPA is a major supporter of this work. At TED2008, geologist Peter Ward was passionate enough about Mark Roth's work to devote several of his own 18 minutes  to talking about it ...
What others say

“He'd had papers published in the most prestigious scientific and medical journals in the world, but Ripley's Believe It or Not!, for his work making suspended animation possible in human beings? [...]  That was an honor. That was science.
” — Esquire",undetected,3,0,2,male
Esther Duflo,Development economist,Esther Duflo takes economics out of the lab and into the field to discover the causes of poverty and means to eradicate it.,"Why you should listen
2009 MacArthur fellow Esther Duflo is pushing the field of development economics by studying specific causal relationships that lead to or perpetuate poverty. She looks at close-to-home issues: household behavior, education, access to finance and health.At MIT, she's the founder and director of the Jameel Poverty Action Lab (J-PAL), a research network that evaluates social programs. It's concerned less with wide-ranging policy than with specific questions. Sample: If schoolkids could get their uniforms for free, would attendance go up? What's an effective way to reward mothers for immunizing their babies? Randomized trials offer new insights toward creating global equity and prosperity. Her work may blur the lines between economics and activism, but it's a role Duflo not only considers comfortable but vital.Her new book is Poor Economics, with Abhijit W. Banerjee.  ",undetected,0,2,2,female
Sharmeen Obaid-Chinoy,Filmmaker,"Sharmeen Obaid-Chinoy makes documentary films. She's the founder of the Citizens Archive of Pakistan, dedicated to preserving Pakistan's history.","Why you should listen
Sharmeen Obaid-Chinoy is a film producer and journalist who has worked on 14 films for major networks in the United States and Britain. Her films include Children of the Taliban  (with Dan Edge), The Lost Generation (about Iraqi exiles) and Afghanistan Unveiled. Her work has taken her around the world, where she has filmed and worked with refugees, women’s advocacy groups and human rights defenders. By bringing their voices to the outside world, she has often helped them bring about a critical change in their community.Obaid-Chinoy helped found the Citizens Archive of Pakistan, a nonprofit, volunteer organization that fosters and promotes community-wide interest in the culture and history of Pakistan. Citizens Archive works with thousands of children, teaching critical thinking skills and instilling a sense of pride about their history and identity.Obaid-Chinoy is a TED2010 Fellow.
What others say

“By bringing the voices of the ordinary people faced with extraordinary challenges to television screens around the world, I hope to affect change in one community at a time.” — Sharmeen Obaid-Chinoy in BusinessWeek",undetected,0,5,4,female
Amit Sood,Technologist,"As the director of Google's Cultural Institute and Art Project, Amit Sood leads the effort to bring cultural artifacts from museums, archives and foundations onto the web in extraordinary detail.","Why you should listen
Amit Sood is the director of Google's Cultural Institute. He and his team work on making art and culture accessible and engaging for everyone. They have partnered with over 1,000 museums, archives and other institutions from more than 70 countries to bring our shared heritage onto the web and connect them with people through new technologies. Most recently they have been experimenting with combining art with machine learning algorithms and other advanced technologies to create new ways to explore our cultures.
What others say

“This isn't just about putting the collection online. Through our partnership with Google, we hope to give people new ways to experience and enjoy the museum, new ways to learn, and new ways to teach.” — Neil MacGregor, Evening Standard, November 12, 2015",undetected,2,0,3,male
